material_id,raw_description,quantity,unit_price,normalized_description
IOCL-00062,VLV-BALL-4IN-CS-CL150,63,17967.93,Valve Ball 4 Inch Carbon Steel Class 150
IOCL-00027,CPLG-4IN-SS316,50,4215.08,Coupling 4 Inch Stainless Steel 316
IOCL-00006,VLV-GLB-3IN-CS-CL300,3,23144.29,Valve Globe 3 Inch Carbon Steel Class 300
IOCL-00054,PUMP-CENTRF-50M3H-30M-CS,3,196332.49,Pump Centrifugal 50 Cubic Meters Per Hour 30M Carbon Steel
IOCL-00033,FIT-RED-6IN-SS304,274,4484.65,Fitting Reducer 6 Inch Stainless Steel 304
IOCL-00120,MOTOR 3PH 415V 15KW TEFC,37,17949.45,Motor 3Ph 415V 15Kw Tefc
IOCL-00138,FILTER ELEMENT 10 MICRON PLEATED,401,16992.01,Filter Element 10 Micron Pleated
IOCL-00134,Solenoid Valve 24Vdc 1/2In,161,4524.17,Solenoid Valve 24Vdc 1/2 Inch
IOCL-00041,Vlv - Ball - 1In - Ss316,41,82319.02,Valve Ball 1 Inch Stainless Steel 316
IOCL-00123,MOTOR 3PH 415V 15KW TEFC,131,14532.82,Motor 3Ph 415V 15Kw Tefc
IOCL-00030,VLV-BFLY-8IN-SS316,54,82913.12,Valve Butterfly 8 Inch Stainless Steel 316
IOCL-00148,MOTOR 3PH 415V 15KW TEFC,317,3945.1,Motor 3Ph 415V 15Kw Tefc
IOCL-00026,vlv-chk-2in-ss304,78,7089.5,Valve Check 2 Inch Stainless Steel 304
IOCL-00022,FIT-TEE-6IN-SS316,269,2860.11,Fitting Tee 6 Inch Stainless Steel 316
IOCL-00109,fit-elb-2in-cs,308,12921.2,Fitting Elbow 2 Inch Carbon Steel
IOCL-00140,CABLE GLAND BRASS 20MM NPT,371,1918.81,Cable Gland Brass 20Mm Npt Thread
IOCL-00075,VLV-GATE-6IN-SS316-CL150,92,121501.14,Valve Gate 6 Inch Stainless Steel 316 Class 150
IOCL-00146,CABLE GLAND BRASS 20MM NPT,284,10077.61,Cable Gland Brass 20Mm Npt Thread
IOCL-00037,FIT - TEE - 6IN - SS316,212,1694.12,Fitting Tee 6 Inch Stainless Steel 316
IOCL-00100,GSKT-SW-8IN-GRPH,102,767.18,Gasket Spiral Wound 8 Inch Graphite
IOCL-00128,CONTROL VALVE POSITIONER PNEUMATIC,254,13396.32,Control Valve Positioner Pneumatic
IOCL-00131,MOTOR 3PH 415V 15KW TEFC,366,5714.22,Motor 3Ph 415V 15Kw Tefc
IOCL-00105,Pipe-8In-Cs-Sch80-Wld,148,863.46,Pipe 8 Inch Carbon Steel Sch80 Welded
IOCL-00016,PUMP-CENTRF-50M3H-30M-CS,3,90772.9,Pump Centrifugal 50 Cubic Meters Per Hour 30M Carbon Steel
IOCL-00057,FIT-RED-6IN-SS304,135,1976.34,Fitting Reducer 6 Inch Stainless Steel 304
IOCL-00005,SEAL-MECH-3IN-SS316,101,6956.17,Seal Mechanical 3 Inch Stainless Steel 316
IOCL-00023,PIPE-6IN-CS-SCH40-WLD,907,276.64,Pipe 6 Inch Carbon Steel Sch40 Welded
IOCL-00010,VLV-GATE-4IN-CS-CL300,33,148847.31,Valve Gate 4 Inch Carbon Steel Class 300
IOCL-00074,SEAL-ORING-2IN-SS316,129,7089.59,Seal O-Ring 2 Inch Stainless Steel 316
IOCL-00065,VLV-BALL-3IN-SS316,23,136319.84,Valve Ball 3 Inch Stainless Steel 316
IOCL-00091,CPLG - 4IN - SS316,2,3034.42,Coupling 4 Inch Stainless Steel 316
