material_id,raw_description,quantity,unit_price,normalized_description
ONGC-00072,2 INCH O-RING SEAL STAINLESS STEEL 316,85,4769.05,2 Inch O Ring Seal Stainless Steel 316
ONGC-00035,8 inch butterfly valve stainless steel 316,53,79292.0,8 Inch Butterfly Valve Stainless Steel 316
ONGC-00092,CHECK VALVE CARBON STEEL 4 INCH CLASS 150,99,87236.84,Check Valve Carbon Steel 4 Inch Class 150
ONGC-00013,3 INCH BLIND FLANGE STAINLESS STEEL 304 CLASS 150,32,4450.39,3 Inch Blind Flange Stainless Steel 304 Class 150
ONGC-00096,2 inch gate valve carbon steel,12,85156.27,2 Inch Gate Valve Carbon Steel
ONGC-00141,BATTERY LEAD ACID 12V 100AH,190,11688.21,Battery Lead Acid 12V 100Ah
ONGC-00062,6 INCH TEE STAINLESS STEEL 316,43,3840.49,6 Inch Tee Stainless Steel 316
ONGC-00108,2 Inch Coupling Carbon Steel,144,9885.86,2 Inch Coupling Carbon Steel
ONGC-00088,GLOBE VALVE CARBON STEEL 3 INCH CLASS 300,36,131865.86,Globe Valve Carbon Steel 3 Inch Class 300
ONGC-00061,4 INCH GATE VALVE CARBON STEEL CLASS 300,90,72177.73,4 Inch Gate Valve Carbon Steel Class 300
ONGC-00022,2 INCH COUPLING CARBON STEEL,45,5264.4,2 Inch Coupling Carbon Steel
ONGC-00017,3 INCH GLOBE VALVE CARBON STEEL CLASS 300,33,111633.76,3 Inch Globe Valve Carbon Steel Class 300
ONGC-00114,M20 HEX BOLT STAINLESS STEEL 304 GRADE B8,186,18622.04,M20 Hex Bolt Stainless Steel 304 Grade B8
ONGC-00045,4 INCH O-RING SEAL STAINLESS STEEL 304,118,811.96,4 Inch O Ring Seal Stainless Steel 304
ONGC-00118,Temperature Transmitter 4-20Ma Hart,239,14131.34,Temperature Transmitter 4 20Ma Hart
ONGC-00031,3 INCH GLOBE VALVE CARBON STEEL,86,89443.32,3 Inch Globe Valve Carbon Steel
ONGC-00087,3 INCH TEE CARBON STEEL,79,1806.85,3 Inch Tee Carbon Steel
ONGC-00037,CENTRIFUGAL PUMP 75 M3/HR 40M HEAD STAINLESS STEEL 304,4,330300.71,Centrifugal Pump 75 Cubic Meters Per Hour 40M Head Stainless Steel 304
ONGC-00128,CHAIN SLING 2TON 3MTR,145,17613.18,Chain Sling 2Ton 3Mtr
ONGC-00007,centrifugal pump 75 m3/hr 40m head stainless steel 304,1,483628.99,Centrifugal Pump 75 Cubic Meters Per Hour 40M Head Stainless Steel 304
ONGC-00094,4 INCH SPIRAL WOUND GASKET GRAPHITE,100,537.53,4 Inch Spiral Wound Gasket Graphite
ONGC-00069,M24 STUD BOLT CARBON STEEL GRADE B7,565,271.99,M24 Stud Bolt Carbon Steel Grade B7
ONGC-00123,LEVEL TRANSMITTER RADAR TYPE,434,1501.62,Level Transmitter Radar Type
ONGC-00066,2 INCH GATE VALVE CARBON STEEL CLASS 150,95,8704.99,2 Inch Gate Valve Carbon Steel Class 150
ONGC-00033,MECHANICAL SEAL 3 INCH STAINLESS STEEL 316,55,6616.28,Mechanical Seal 3 Inch Stainless Steel 316
ONGC-00050,GATE VALVE CARBON STEEL 2 INCH,48,37488.53,Gate Valve Carbon Steel 2 Inch
ONGC-00073,M20 HEX BOLT STAINLESS STEEL 304 GRADE B8,739,289.86,M20 Hex Bolt Stainless Steel 304 Grade B8
ONGC-00083,2 INCH CARBON STEEL PIPE SCH40 SEAMLESS,614,3347.47,2 Inch Carbon Steel Pipe Sch40 Seamless
ONGC-00086,1IN STUD BOLT STAINLESS STEEL 316 GRADE B8M,1574,63.49,1 Inch Stud Bolt Stainless Steel 316 Grade B8M
ONGC-00071,6 INCH GATE VALVE STAINLESS STEEL 316,92,141749.24,6 Inch Gate Valve Stainless Steel 316
ONGC-00021,M20 HEX BOLT STAINLESS STEEL 304 GRADE B8,952,45.39,M20 Hex Bolt Stainless Steel 304 Grade B8
ONGC-00018,GATE VALVE STAINLESS STEEL 316 6 INCH CLASS 150,48,22219.96,Gate Valve Stainless Steel 316 6 Inch Class 150
ONGC-00130,HYDRAULIC HOSE 1IN 2WIRE BRAID,292,11858.18,Hydraulic Hose 1 Inch 2Wire Braid
ONGC-00120,LEVEL TRANSMITTER RADAR TYPE,401,16747.43,Level Transmitter Radar Type
ONGC-00139,DESICCANT BREATHER 2IN NPT,361,2394.65,Desiccant Breather 2 Inch Npt Thread
ONGC-00148,CHAIN SLING 2TON 3MTR,203,10577.64,Chain Sling 2Ton 3Mtr
ONGC-00042,6 INCH BLIND FLANGE CARBON STEEL CLASS 150,30,48507.31,6 Inch Blind Flange Carbon Steel Class 150
ONGC-00091,4 INCH REDUCER CARBON STEEL,196,3778.01,4 Inch Reducer Carbon Steel
ONGC-00137,rotameter 0-50 lpm glass tube,58,9399.78,Rotameter 0 50 Lpm Glass Tube
ONGC-00077,2 INCH ELBOW 90DEG CARBON STEEL,172,1991.9,2 Inch Elbow 90Deg Carbon Steel
ONGC-00099,GLOBE VALVE STAINLESS STEEL 316 1-1/2 INCH,17,17262.33,Globe Valve Stainless Steel 316 1 1/2 Inch
ONGC-00065,3 INCH TEE CARBON STEEL,104,3117.67,3 Inch Tee Carbon Steel
ONGC-00101,3 INCH TEE CARBON STEEL,342,16537.83,3 Inch Tee Carbon Steel
ONGC-00010,3 INCH TEE CARBON STEEL,132,1415.53,3 Inch Tee Carbon Steel
ONGC-00104,6 INCH BLIND FLANGE CARBON STEEL CLASS 150,403,19172.9,6 Inch Blind Flange Carbon Steel Class 150
ONGC-00140,DESICCANT BREATHER 2IN NPT,387,14897.02,Desiccant Breather 2 Inch Npt Thread
ONGC-00057,BUTTERFLY VALVE STAINLESS STEEL 316 8 INCH,78,4130.24,Butterfly Valve Stainless Steel 316 8 Inch
ONGC-00047,CENTRIFUGAL PUMP 50 M3/HR 30M HEAD CARBON STEEL,5,363188.39,Centrifugal Pump 50 Cubic Meters Per Hour 30M Head Carbon Steel
ONGC-00030,BALL VALVE STAINLESS STEEL 316 3 INCH,22,82311.41,Ball Valve Stainless Steel 316 3 Inch
ONGC-00125,CHAIN SLING 2TON 3MTR,165,1672.91,Chain Sling 2Ton 3Mtr
ONGC-00038,CHECK VALVE STAINLESS STEEL 304 2 INCH,96,126619.42,Check Valve Stainless Steel 304 2 Inch
ONGC-00107,3 INCH SPIRAL WOUND GASKET STAINLESS STEEL 316,339,19014.61,3 Inch Spiral Wound Gasket Stainless Steel 316
ONGC-00093,3/4IN HEX BOLT CARBON STEEL GRADE B7,1027,209.25,3/4 Inch Hex Bolt Carbon Steel Grade B7
ONGC-00084,4 INCH CHECK VALVE CARBON STEEL,90,127041.55,4 Inch Check Valve Carbon Steel
ONGC-00144,LEVEL TRANSMITTER RADAR TYPE,134,4510.74,Level Transmitter Radar Type
ONGC-00074,4 INCH WELD NECK FLANGE STAINLESS STEEL 316 CLASS 300,33,29094.99,4 Inch Welded Neck Flange Stainless Steel 316 Class 300
ONGC-00110,M16 HEX BOLT CARBON STEEL GRADE 8.8,436,12068.7,M16 Hex Bolt Carbon Steel Grade 8.8
ONGC-00081,CENTRIFUGAL PUMP 75 M3/HR 40M HEAD STAINLESS STEEL 304,2,67533.41,Centrifugal Pump 75 Cubic Meters Per Hour 40M Head Stainless Steel 304
ONGC-00015,3 INCH SPIRAL WOUND GASKET STAINLESS STEEL 316,159,323.16,3 Inch Spiral Wound Gasket Stainless Steel 316
ONGC-00002,CENTRIFUGAL PUMP 200 M3/HR 80M HEAD CARBON STEEL,5,473206.36,Centrifugal Pump 200 Cubic Meters Per Hour 80M Head Carbon Steel
ONGC-00012,2 Inch O-Ring Seal Stainless Steel 316,105,5629.03,2 Inch O Ring Seal Stainless Steel 316
ONGC-00116,AIR FILTER REGULATOR LUBRICATOR UNIT,163,1164.63,Air Filter Regulator Lubricator Unit
ONGC-00025,2 INCH CARBON STEEL PIPE SCH40 SEAMLESS,892,443.69,2 Inch Carbon Steel Pipe Sch40 Seamless
ONGC-00048,6 INCH SPIRAL WOUND GASKET STAINLESS STEEL 316,126,163.48,6 Inch Spiral Wound Gasket Stainless Steel 316
